upi_transactions_per_month,bill_payment_on_time_pct,rent_payments_regular,monthly_income_estimate,mobile_recharge_frequency,employment_type,score,risk_tier
51,0.59,1,41116,1,2,593.2147667883625,Medium
92,0.75,0,90751,2,2,733.6677610792398,Low
14,0.43,1,96353,2,1,588.0708070951513,Medium
71,0.13,0,95301,0,1,389.82563049359555,High
60,0.28,0,30556,1,1,317.3338365794179,High
20,0.36,1,64042,1,2,494.18193122704554,Medium
82,0.65,0,23099,2,1,509.5402655896075,Medium
86,0.57,0,50096,2,1,540.8105452696558,Medium
74,0.36,0,76986,1,0,439.34175351153954,High
74,0.99,0,18230,0,0,486.9548380549269,Medium
87,0.61,0,34009,2,1,556.3971907055028,Medium
99,0.24,0,75969,0,0,423.7617654768756,High
23,0.1,1,38866,0,0,300.0,High
2,0.15,1,89246,2,1,457.7849077287882,Medium
21,0.25,0,81975,0,1,314.59569048539737,High
52,0.16,1,46855,0,1,363.05794508625354,High
1,0.19,1,86557,1,1,436.2331203580909,High
87,0.29,1,11416,0,2,506.6690648962194,Medium
29,0.17,0,77516,1,2,378.1860321559179,High
37,0.9,1,60915,2,1,667.8480229235815,Low
1,0.08,0,23058,2,0,300.0,High
63,0.52,1,81637,1,1,631.8064843513026,Medium
59,0.41,0,45718,2,1,477.0769858273617,Medium
20,0.98,0,37602,0,0,423.2616359719024,High
32,0.11,1,79658,0,2,477.0304928516607,Medium
75,0.4,1,83112,0,1,602.6185666338201,Medium
57,0.97,0,63067,2,1,641.1316170288181,Medium
21,0.87,1,32516,0,2,589.6988087582263,Medium
88,0.82,1,92969,2,2,850.0,Low
48,0.26,1,6089,0,0,314.9669143030627,High
90,0.17,0,42346,1,2,436.5010211767649,High
58,0.67,0,79663,2,2,601.5637672090922,Medium
41,0.93,1,15487,2,2,672.8790202974615,Low
91,0.56,1,5155,0,0,467.30539041212114,Medium
59,0.57,1,72494,2,2,688.0670779935754,Low
79,0.28,0,81229,2,2,559.6549437538501,Medium
14,0.77,0,43547,1,0,427.1877265180423,High
61,0.19,1,33795,1,2,463.7461069493146,Medium
61,0.32,1,60296,0,2,521.5259338634734,Medium
46,0.43,1,26447,1,0,405.59968466986703,High
61,0.51,1,41598,0,1,531.8058175594592,Medium
50,0.24,1,46814,0,0,411.1960397305845,High
54,0.11,1,95751,0,2,545.6492992677913,Medium
63,0.61,0,80330,2,2,604.2518251204114,Medium
2,0.29,1,92960,1,2,546.337285414356,Medium
50,0.58,0,68278,0,0,410.1666260184581,High
6,0.15,1,60077,1,2,390.3998113621006,High
20,0.48,1,76906,0,2,516.2241508580129,Medium
72,0.53,0,14528,1,0,378.7825743867091,High
38,0.05,0,98812,1,1,373.4005877237283,High
17,0.34,0,55100,0,1,303.101507538917,High
3,0.13,0,13179,2,2,300.0,High
88,0.06,1,53781,1,0,415.5189081698071,High
59,0.99,0,60267,2,2,722.857092565473,Low
13,0.32,1,87379,2,0,446.3748535441262,High
8,0.81,0,28952,0,0,360.18414747824716,High
89,0.25,1,58798,0,1,532.5707803198628,Medium
52,0.68,1,55939,0,1,551.4732294044725,Medium
1,0.76,1,34516,1,0,388.5236383335904,High
83,0.6,1,61526,0,2,685.2304944455802,Low
91,0.47,1,15449,0,1,496.41439448019634,Medium
59,0.41,1,55290,1,2,578.4686861095632,Medium
70,0.35,0,91661,1,1,523.6459201834822,Medium
43,0.93,1,77954,0,1,691.1162765250132,Low
7,0.83,0,27746,0,2,442.96620681338584,High
46,0.97,0,72990,0,1,555.4831738323413,Medium
34,0.12,1,63810,0,1,410.1378949924918,High
77,0.73,0,88297,2,2,698.013093276637,Low
80,0.94,1,20223,2,1,647.3210013050355,Medium
35,0.18,0,77237,0,1,304.90519306279907,High
49,0.07,1,7597,2,1,348.55450184265123,High
3,0.74,0,70677,1,2,479.77771507837724,Medium
1,0.57,1,7659,2,0,346.5571106164791,High
5,0.84,1,91516,2,2,711.7970497505836,Low
53,0.14,1,79567,0,0,403.5062919378143,High
3,0.8,1,20037,2,1,486.18691324286567,Medium
53,0.2,0,51738,2,0,304.4620787402355,High
92,0.16,1,76678,2,2,645.7948761643066,Medium
62,0.16,0,17109,2,2,324.9188522483053,High
17,0.81,0,27010,1,1,397.30003916561157,High
89,0.67,0,13787,0,0,388.0183178187848,High
43,0.52,1,13472,0,1,414.15646296982175,High
33,0.36,0,28383,1,1,306.49940401381457,High
73,0.88,0,66709,2,2,722.6171334886749,Low
61,0.39,0,74785,1,0,450.239545544992,Medium
99,0.82,1,39518,2,0,660.6804231952607,Low
13,0.44,1,58909,1,0,445.67465250540056,High
94,0.38,0,23351,0,0,333.11608800957134,High
47,0.46,1,74624,0,1,534.6985356584619,Medium
14,0.3,1,58330,0,1,394.87725978296635,High
71,0.75,0,20282,2,2,616.4556550516502,Medium
77,0.5,0,89866,2,1,582.8863532447467,Medium
86,0.23,1,26778,1,1,438.6212397404389,High
61,0.9,0,29264,1,2,610.3355894038597,Medium
39,0.38,1,64675,0,2,504.6825288240913,Medium
84,0.54,1,10075,2,2,602.9182283884882,Medium
79,0.91,1,80948,1,1,750.5410069214764,Low
81,0.62,1,53454,2,1,657.7339245390216,Low
52,0.12,1,33365,2,2,449.9221692758912,High
23,0.94,1,77766,0,2,697.0608363298954,Low
25,0.63,0,53200,0,2,447.0158325944396,High
88,0.33,0,16002,2,1,403.38289678770644,High
59,0.14,1,18947,2,1,427.81143953317854,High
40,0.79,1,84222,2,0,650.5439350134919,Low
28,0.62,1,99840,2,1,614.7590349911189,Medium
14,0.53,0,83610,0,1,422.61406628168606,High
